DOY,ch4_flux,air_temperature
48.062,-4.36E-02,296.808
48.083,-1.69E-03,296.852
48.104,-2.44E-04,296.776
48.125,-2.12E-02,296.796
48.145,-3.45E-03,294.303
48.166,-3.33E-02,293.329
48.187,7.17E-04,293.31
48.208,3.52E-03,292.336
48.229,-1.62E-03,291.697
48.25,1.21E-03,290.436
48.27,-1.28E-03,292.434
48.291,8.49E-04,290.367
48.312,-1.04E-03,291.159
48.333,-9.06E-04,294.694
48.354,2.69E-03,297.813
48.374,2.06E-02,298.96
48.395,-5.81E-02,299.94
48.416,-2.34E-04,301.258
48.437,-2.37E-03,302.505
48.458,-2.79E-02,302.813
48.479,4.37E-04,303.051
48.499,2.52E-02,304.078
48.52,-0.169797,304.672
48.541,0.303564,305.728
48.562,1.38E-02,307.469
48.583,0.172388,308.202
48.604,-5.71E-02,308.724
48.624,0.170666,308.897
48.645,0.147882,308.919
48.666,-0.165376,308.473
48.687,3.49E-02,308.585
48.708,2.50E-02,308.124
48.729,1.45E-02,307.982
48.749,-1.53E-02,307.916
48.77,-8.95E-02,307.456
48.791,-9.62E-03,308.467
48.812,3.00E-02,307.522
48.833,-3.45E-02,306.065
48.854,6.71E-03,304.891
48.874,-0.104048,304.029
48.895,-9.99E-02,303.12
48.916,-3.05E-02,302.249
48.937,-5.32E-02,301.8
48.958,8.95E-02,300.933
48.979,-3.98E-02,300.361
49,7.79E-02,299.55
49.02,7.92E-03,298.65
49.041,1.51E-02,297.924
49.062,-8.18E-04,296.725
49.083,5.38E-03,294.381
49.104,-1.39E-02,292.778
49.125,2.14E-03,292.142
49.145,3.22E-03,291.609
49.166,-6.88E-03,291.097
49.187,-2.47E-02,290.962
49.208,-9.67E-03,290.959
49.229,1.08E-03,293.763
49.25,-1.25E-04,295.281
49.27,3.60E-03,295.514
49.291,-3.63E-03,295.536
49.312,-7.81E-04,295.038
49.333,-1.32E-02,296.348
49.354,-2.92E-03,298.157
49.374,1.56E-02,299.614
49.395,-5.34E-02,301.272
49.416,-1.14E-02,302.654
49.437,5.30E-02,303.852
49.458,-3.34E-02,305.142
49.479,-0.225124,306.24
49.499,-5.71E-02,307.056
49.52,0.474131,308.083
49.541,3.32E-02,308.537
49.562,0.105144,309.246
49.583,0.480031,309.226
49.604,-5.67E-02,309.598
49.624,-3.64E-02,309.266
49.645,-2.21E-02,308.239
49.666,1.53E-02,307.785
49.687,-2.38E-02,307.576
49.708,7.75E-02,308.249
49.729,1.49E-02,308.957
49.749,-1.30E-02,309.625
49.77,-4.93E-02,308.556
49.791,2.58E-02,307.236
49.812,-2.44E-02,306.613
49.833,7.06E-02,305.352
49.854,5.06E-03,304.234
49.874,6.90E-02,303.193
49.895,-0.248719,302.476
49.916,0.151376,301.797
49.937,0.120658,300.54
49.958,-0.191118,299.265
49.979,-4.75E-02,298.451
50,-1.69E-03,297.808
